trainno,trainKnd,upbdnbSe,wkndSe,lineNm,brlnNm,stnCd,stnNo,stnNm,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,trainDptreTm,trainArvlTm,etrnYn,lnkgTrainno,tmprTmtblYn,vldBgngDt,vldEndDt,crtrYmd
2016,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:41:20,06:40:52,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:45:57,06:45:29,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:48:10,06:47:42,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:51:03,06:50:35,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:55:09,06:54:41,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:57:50,06:57:22,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:01:40,07:01:12,N,,N,2025-05-01T05:00:00,,20250619
2016,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:04:42,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:41:00,,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:47:20,06:46:52,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:51:57,06:51:29,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:54:10,06:53:42,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:57:03,06:56:35,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:01:09,07:00:41,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:03:50,07:03:22,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:07:40,07:07:12,N,,N,2025-05-01T05:00:00,,20250619
2018,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,07:10:42,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:53:00,,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,06:59:20,06:58:52,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:03:57,07:03:29,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:06:10,07:05:42,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:09:03,07:08:35,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:13:09,07:12:41,N,,N,2025-05-01T05:00:00,,20250619
2022,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,07:15:50,07:15:22,N,,N,2025-05-01T05:00:00,,20250619
